ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,Unnamed: 0
000001.SZ,20190307,20181231,新华人寿保险股份有限公司-分红-个人分红-018L-FH002深,49603502,0.29,0
000002.SZ,20190326,20181231,香港中央结算(代理人)有限公司,1314911984,11.91,0
000004.SZ,20190426,20181231,中科招商投资管理集团股份有限公司,3000000,3.57,0
000005.SZ,20190425,20181231,(香港)中国投资有限公司,184240445,17.41,0
000006.SZ,20190330,20181231,曾运龙,4704200,0.35,0
000007.SZ,20190430,20181231,阳德惠,2436100,0.7,0
000008.SZ,20190425,20181231,王新宇,32840000,1.17,0
000009.SZ,20190430,20181231,王世宪,9497688,0.44,0
000010.SZ,20190425,20181231,佳源创盛控股集团有限公司,110744600,13.51,0
000011.SZ,20190330,20181231,深圳市投资控股有限公司,380378897,63.82,0
000012.SZ,20190417,20181231,中国银河国际证券(香港)有限公司,37313064,1.3,0
000014.SZ,20190330,20181231,上海中汇金凯资产管理有限公司-中汇金凯10期证券投资私募基金,1298600,0.64,0
000016.SZ,20190330,20181231,云南国际信托有限公司-聚利49号单一资金信托,17408616,0.72,0
000017.SZ,20190420,20181231,国信证券(香港)经纪有限公司,13909425,2.52,0
000019.SZ,20190427,20181231,深圳市农产品集团股份有限公司,94832294,8.23,0
000020.SZ,20190430,20181231,吴敬民,788352,0.28,0
000021.SZ,20190420,20181231,龙力控股有限公司,2598900,0.18,0
000023.SZ,20190418,20181231,陕西恒通果汁集团股份有限公司,10000000,7.21,0
000025.SZ,20190402,20181231,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,1197304,0.4,0
000026.SZ,20190315,20181231,中航国际控股股份有限公司,162977327,37.15,0
000027.SZ,20190404,20181231,深圳市远致投资有限公司,37842373,0.95,0
000028.SZ,20190425,20181231,GUOTAIJUNANSECURITIES(HONGKONG)LIMITED,4245498,0.99,0
000029.SZ,20190329,20181231,GUOTAI  JUNAN SECURITIES(HONGKONG) LIMITED,1015683,0.1,0
000030.SZ,20190430,20181231,吉林省国有资本运营有限责任公司,181657489,10.03,0
000031.SZ,20190404,20181231,张忱业,7903778,0.44,0
000032.SZ,20190425,20181231,中国人民人寿保险股份有限公司-自有资金,1999923,0.48,0
000034.SZ,20190327,20181231,郝峻晟,5804000,0.89,0
000035.SZ,20190429,20181231,民生加银基金-民生银行-民生加银资产管理有限公司,44709530,3.31,0
000036.SZ,20190430,20181231,李广思,4069848,0.36,0
000037.SZ,20190328,20181231,李宝琴,3972451,0.66,0
000038.SZ,20190430,20181231,罗承,6155253,1.18,0
000039.SZ,20190328,20181231,易方达基金-农业银行-易方达中证金融资产管理计划,9035599,0.3,0
000040.SZ,20190430,20181231,天安人寿保险股份有限公司-传统产品,26740000,1.8,0
000042.SZ,20190413,20181231,深圳市远致投资有限公司,45046186,6.78,0
000045.SZ,20190427,20181231,深圳市投资控股有限公司,234069436,45.78,0
000046.SZ,20190417,20181231,辉泽(天津)投资有限公司,49559900,0.95,0
000048.SZ,20190415,20181231,卢诗玮,8796426,2.25,0
000049.SZ,20190430,20181231,汇添富基金管理股份有限公司-社保基金一五零二组合,1007300,0.49,0
000050.SZ,20190315,20181231,中航国际控股股份有限公司,291567326,14.24,0
000055.SZ,20190130,20181231,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,14550605,1.3,0
000056.SZ,20190425,20181231,钟志强,21576850,1.84,0
000058.SZ,20190430,20181231,上海巨漳投资管理有限公司,1780341,0.14,0
000059.SZ,20190420,20181231,北方华锦化学工业集团有限公司,514417536,32.16,0
000060.SZ,20190330,20181231,香港中央结算有限公司(陆股通),20166022,0.56,0
000061.SZ,20190427,20181231,许育峰,17266320,1.02,0
000062.SZ,20190328,20181231,杨林,19496695,2.7,0
000063.SZ,20190328,20181231,中国平安人寿保险股份有限公司-万能-个险万能,13516896,0.32,0
000065.SZ,20190402,20181231,叶纪明,1744700,0.23,0
000066.SZ,20190430,20181231,中国电子有限公司,9468665,0.32,0
000068.SZ,20190420,20181231,曹增保,3063000,0.3,0
000069.SZ,20190330,20181231,全国社保基金一零四组合,71000892,0.87,0
000070.SZ,20190416,20181231,阴陶,4721930,0.75,0
000078.SZ,20190427,20181231,张土叶,4640000,0.18,0
000088.SZ,20190403,20181231,广发基金-农业银行-广发中证金融资产管理计划,18092100,0.93,0
000089.SZ,20190330,20181231,基本养老保险基金一零零三组合,17283804,0.84,0
000090.SZ,20190402,20181231,深圳市远致投资有限公司,231404959,16.1,0
000096.SZ,20190404,20181231,蔡世潮,15355112,2.91,0
000099.SZ,20190319,20181231,郑玲玲,2366960,0.39,0
000100.SZ,20190320,20181231,李东生,644873688,4.76,0
000150.SZ,20190426,20181231,代妙琼,7548600,1.2,0
000151.SZ,20190330,20181231,黄称心,538200,0.18,0
000153.SZ,20190426,20181231,曾纪锋,3053200,0.96,0
000155.SZ,20190427,20181231,四川能投资本控股有限公司,18866551,1.49,0
000156.SZ,20190430,20181231,施玮,6075000,0.42,0
000157.SZ,20190330,20181231,弘毅投资产业一期基金(天津)(有限合伙),64600000,0.83,0
000158.SZ,20190430,20181231,李锋,17922053,1.08,0
000159.SZ,20190416,20181231,徐冬水,1660000,0.35,0
000166.SZ,20190228,20181231,中央汇金资产管理有限责任公司,197390385,0.88,0
000301.SZ,20190403,20181231,中国服装集团有限公司,3724120,0.09,0
000333.SZ,20190420,20181231,黄健,88007100,1.32,0
000338.SZ,20190326,20181231,谭旭光,58842596,0.74,0
000400.SZ,20190329,20181231,大成基金-农业银行-大成中证金融资产管理计划,6720169,0.67,0
000401.SZ,20190321,20181231,菱石投资有限公司,25865004,1.92,0
000402.SZ,20190329,20181231,冯伟潮,11142351,0.37,0
000403.SZ,20190425,20181231,张浩钦,1999318,0.73,0
000404.SZ,20190323,20181231,吴丽萍,3167932,0.46,0
000407.SZ,20190418,20181231,孙冠杰,10600000,1.2,0
000408.SZ,20190430,20181231,肖永明,216803365,10.87,0
000409.SZ,20190423,20181231,齐兵,6000000,1.17,0
000410.SZ,20190429,20181231,林秀伟,1431900,0.19,0
000411.SZ,20190426,20181231,浙江省中医药健康产业集团有限公司,6686389,3.22,0
000413.SZ,20190430,20181231,石家庄宝石电子集团有限责任公司,332382171,5.8,0
000415.SZ,20190423,20181231,宁波梅山保税港区德通顺和投资管理有限公司,137868276,2.22,0
000416.SZ,20190329,20181231,邱伟豪,2341608,0.44,0
000417.SZ,20190404,20181231,陈秀玲,3850000,0.49,0
000419.SZ,20190413,20181231,长沙水业集团有限公司,3748290,0.69,0
000420.SZ,20190315,20181231,杭州羽南实业有限公司,52631576,2.67,0
000421.SZ,20190322,20181231,李双喜,1449900,0.25,0
000422.SZ,20190404,20181231,磐厚蔚然(上海)资产管理有限公司-磐厚蔚然-禾天下2号结构化私募基金,3483200,0.39,0
000423.SZ,20190314,20181231,MERRILL LYNCH INTERNATIONAL,7122500,1.09,0
000425.SZ,20190430,20181231,湖州泰熙投资合伙企业(有限合伙),130852467,1.67,0
000426.SZ,20190430,20181231,内蒙古兴业集团股份有限公司,556075350,29.76,0
000428.SZ,20190427,20181231,深圳昭阳投资管理有限公司-昭阳1号私募证券投资基金,4228700,0.42,0
000429.SZ,20190329,20181231,新粤有限公司,13201086,0.63,0
000430.SZ,20190319,20181231,中意人寿保险有限公司-传统产品,4192442,1.04,0
000488.SZ,20190330,20181231,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,10997408,0.38,0
000498.SZ,20190315,20181231,香港中央结算有限公司(陆股通),1292968,0.12,0
000501.SZ,20190420,20181231,武汉开发投资有限公司,7806804,1.02,0
000502.SZ,20190328,20181231,上海庞增投资管理中心(有限合伙)-庞增添益11号私募投资基金,9050000,4.9,0
000503.SZ,20190427,20181231,万华天智投资发展有限公司,3110700,0.35,0
000504.SZ,20190430,20181231,湖南省信托有限责任公司,79701655,25.58,0
000505.SZ,20190330,20181231,LI SHERYN ZHAN MING,22002700,3.21,0
000506.SZ,20190427,20181231,国通信托有限责任公司-国通信托·惠钰1号单一资金信托,21253600,2.29,0
000507.SZ,20190429,20181231,莫家碧,3730200,0.47,0
000509.SZ,20190420,20181231,倪文琴,2200000,0.27,0
000510.SZ,20190404,20181231,毛慧庄,2420000,0.4,0
000513.SZ,20190328,20181231,全国社保基金四一三组合,4641057,0.65,0
000514.SZ,20190315,20181231,张滨,1005599,0.12,0
000516.SZ,20190425,20181231,曹鹤玲,54397770,2.76,0
000517.SZ,20190430,20181231,王久芳,195000000,6.12,0
000518.SZ,20190416,20181231,陈建国,26096809,2.53,0
000519.SZ,20190423,20181231,上海迅邦投资有限公司,27620818,1.97,0
000520.SZ,20190430,20181231,颜翠英,4276051,0.42,0
000521.SZ,20190329,20181231,NORGES BANK,3549776,0.34,0
000523.SZ,20190430,20181231,广州国资发展控股有限公司,89256197,14.22,0
000524.SZ,20190411,20181231,广州证券股份有限公司,22563177,3.37,0
000525.SZ,20190409,20181231,杨寿海,8136454,1.4,0
000526.SZ,20190413,20181231,陈红,758600,0.79,0
000528.SZ,20190402,20181231,广发基金-农业银行-广发中证金融资产管理计划,9095060,0.62,0
000529.SZ,20190330,20181231,鹤山市宏科贸易有限公司,2101990,0.36,0
000530.SZ,20190420,20181231,陈乃盛,2311330,0.27,0
000531.SZ,20190329,20181231,广州开发区金融控股集团有限公司,178914710,26.12,0
000532.SZ,20190330,20181231,珠海金控股权投资基金管理有限公司,49943692,14.49,0
000533.SZ,20190430,20181231,温洪标,5542120,0.8,0
000534.SZ,20190425,20181231,广州道恩投资管理有限公司-道恩鼎霖新里程私募证券投资基金,6147000,1.25,0
000536.SZ,20190430,20181231,长城国融投资管理有限公司,15970000,0.58,0
000537.SZ,20190426,20181231,戈德集团有限公司,7352300,0.39,0
000538.SZ,20190322,20181231,陈发树,8948211,0.86,0
000539.SZ,20190412,20181231,哈尔滨市道里区慈善基金会,13722893,0.26,0
000540.SZ,20190425,20181231,贵阳市城市发展投资(集团)股份有限公司,327834898,4.68,0
000541.SZ,20190329,20181231,安信国际证券(香港)有限公司,29332186,2.1,0
000543.SZ,20190427,20181231,安徽省能源集团有限公司,766496989,42.81,0
000544.SZ,20190413,20181231,中国银行股份有限公司-广发中证环保产业交易型开放式指数证券投资基金,2524350,0.26,0
000545.SZ,20190329,20181231,柳冰,3425800,0.35,0
000546.SZ,20190427,20181231,金圆控股集团有限公司,267707628,37.46,0
000547.SZ,20190420,20181231,中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,25339532,1.62,0
000548.SZ,20190323,20181231,林耀礼,2018800,0.4,0
000550.SZ,20190328,20181231,"TEMPLETON DRAGON FUND,INC.",4836708,0.56,0
000551.SZ,20190325,20181231,陈述秋,1726782,0.43,0
000552.SZ,20190326,20181231,华安未来资产-工商银行-华安资产-未来之光资产管理计划,28190854,1.23,0
000553.SZ,20190321,20181231,GUOTAI JUNAN SECURITIES(HONGKONG) LIMITED,4914144,0.2,0
000554.SZ,20190330,20181231,张卫红,2389917,0.5,0
000555.SZ,20190328,20181231,程艳云,8527926,0.89,0
