,ts_code,symbol,name,industry
0,000001.SZ,1,平安银行,银行
1,000002.SZ,2,万科A,全国地产
2,000004.SZ,4,国华网安,互联网
3,000005.SZ,5,世纪星源,环境保护
4,000006.SZ,6,深振业A,区域地产
5,000007.SZ,7,全新好,酒店餐饮
6,000008.SZ,8,神州高铁,运输设备
7,000009.SZ,9,中国宝安,综合类
8,000010.SZ,10,美丽生态,建筑工程
9,000011.SZ,11,深物业A,区域地产
10,000012.SZ,12,南玻A,玻璃
11,000014.SZ,14,沙河股份,全国地产
12,000016.SZ,16,深康佳A,家用电器
13,000017.SZ,17,*ST中华A,文教休闲
14,000019.SZ,19,深粮控股,其他商业
15,000020.SZ,20,深华发A,元器件
16,000021.SZ,21,深科技,IT设备
17,000023.SZ,23,深天地A,其他建材
18,000025.SZ,25,特力A,汽车服务
19,000026.SZ,26,飞亚达,其他商业
20,000027.SZ,27,深圳能源,火力发电
21,000028.SZ,28,国药一致,医药商业
22,000029.SZ,29,深深房A,区域地产
23,000030.SZ,30,富奥股份,汽车配件
24,000031.SZ,31,大悦城,全国地产
25,000032.SZ,32,深桑达A,元器件
26,000034.SZ,34,神州数码,综合类
27,000035.SZ,35,中国天楹,环境保护
28,000036.SZ,36,华联控股,全国地产
29,000037.SZ,37,深南电A,火力发电
30,000038.SZ,38,深大通,广告包装
31,000039.SZ,39,中集集团,轻工机械
32,000040.SZ,40,东旭蓝天,新型电力
33,000042.SZ,42,中洲控股,全国地产
34,000045.SZ,45,深纺织A,元器件
35,000046.SZ,46,泛海控股,多元金融
36,000048.SZ,48,京基智农,饲料
37,000049.SZ,49,德赛电池,电气设备
38,000050.SZ,50,深天马A,元器件
39,000055.SZ,55,方大集团,其他建材
40,000056.SZ,56,皇庭国际,房产服务
41,000058.SZ,58,深赛格,元器件
42,000059.SZ,59,华锦股份,石油加工
43,000060.SZ,60,中金岭南,铅锌
44,000061.SZ,61,农产品,农业综合
45,000062.SZ,62,深圳华强,批发业
46,000063.SZ,63,中兴通讯,通信设备
47,000065.SZ,65,北方国际,建筑工程
48,000066.SZ,66,中国长城,IT设备
49,000068.SZ,68,华控赛格,环境保护
50,000069.SZ,69,华侨城A,旅游景点
51,000070.SZ,70,特发信息,通信设备
52,000078.SZ,78,海王生物,医药商业
53,000088.SZ,88,盐田港,港口
54,000089.SZ,89,深圳机场,机场
55,000090.SZ,90,天健集团,建筑工程
56,000096.SZ,96,广聚能源,石油贸易
57,000099.SZ,99,中信海直,空运
58,000100.SZ,100,TCL科技,元器件
59,000150.SZ,150,宜华健康,医疗保健
60,000151.SZ,151,中成股份,商贸代理
61,000153.SZ,153,丰原药业,化学制药
62,000155.SZ,155,川能动力,新型电力
63,000156.SZ,156,华数传媒,影视音像
64,000157.SZ,157,中联重科,工程机械
65,000158.SZ,158,常山北明,纺织
66,000159.SZ,159,国际实业,石油贸易
67,000166.SZ,166,申万宏源,证券
68,000301.SZ,301,东方盛虹,化纤
69,000333.SZ,333,美的集团,家用电器
70,000338.SZ,338,潍柴动力,汽车配件
71,000400.SZ,400,许继电气,电气设备
72,000401.SZ,401,冀东水泥,水泥
73,000402.SZ,402,金融街,全国地产
74,000403.SZ,403,双林生物,生物制药
75,000404.SZ,404,长虹华意,专用机械
76,000407.SZ,407,胜利股份,供气供热
77,000408.SZ,408,*ST藏格,农药化肥
78,000409.SZ,409,ST地矿,综合类
79,000410.SZ,410,*ST沈机,机床制造
80,000411.SZ,411,英特集团,医药商业
81,000413.SZ,413,东旭光电,元器件
82,000415.SZ,415,渤海租赁,多元金融
83,000416.SZ,416,民生控股,多元金融
84,000417.SZ,417,合肥百货,百货
85,000419.SZ,419,通程控股,百货
86,000420.SZ,420,吉林化纤,化纤
87,000421.SZ,421,南京公用,供气供热
88,000422.SZ,422,ST宜化,农药化肥
89,000423.SZ,423,东阿阿胶,中成药
90,000425.SZ,425,徐工机械,工程机械
91,000426.SZ,426,兴业矿业,铅锌
92,000428.SZ,428,华天酒店,酒店餐饮
93,000429.SZ,429,粤高速A,路桥
94,000430.SZ,430,张家界,旅游景点
95,000488.SZ,488,晨鸣纸业,造纸
96,000498.SZ,498,山东路桥,建筑工程
97,000501.SZ,501,鄂武商A,百货
98,000502.SZ,502,绿景控股,综合类
99,000503.SZ,503,国新健康,医疗保健
100,000504.SZ,504,ST生物,环境保护
101,000505.SZ,505,京粮控股,食品
102,000506.SZ,506,中润资源,黄金
103,000507.SZ,507,珠海港,港口
104,000509.SZ,509,*ST华塑,医疗保健
105,000510.SZ,510,新金路,化工原料
106,000513.SZ,513,丽珠集团,化学制药
107,000514.SZ,514,渝开发,区域地产
108,000516.SZ,516,国际医学,医疗保健
109,000517.SZ,517,荣安地产,区域地产
110,000518.SZ,518,四环生物,生物制药
111,000519.SZ,519,中兵红箭,矿物制品
112,000520.SZ,520,长航凤凰,水运
113,000521.SZ,521,长虹美菱,家用电器
114,000523.SZ,523,广州浪奇,日用化工
115,000524.SZ,524,岭南控股,酒店餐饮
116,000525.SZ,525,红太阳,农药化肥
117,000526.SZ,526,紫光学大,文教休闲
118,000528.SZ,528,柳工,工程机械
119,000529.SZ,529,广弘控股,食品
120,000530.SZ,530,冰山冷热,机械基件
121,000531.SZ,531,穗恒运A,火力发电
122,000532.SZ,532,华金资本,多元金融
123,000533.SZ,533,顺钠股份,电气设备
124,000534.SZ,534,万泽股份,生物制药
125,000536.SZ,536,*ST华映,元器件
126,000537.SZ,537,广宇发展,区域地产
127,000538.SZ,538,云南白药,中成药
128,000539.SZ,539,粤电力A,火力发电
129,000540.SZ,540,中天金融,多元金融
130,000541.SZ,541,佛山照明,家用电器
131,000543.SZ,543,皖能电力,火力发电
132,000544.SZ,544,中原环保,环境保护
133,000545.SZ,545,金浦钛业,化工原料
134,000546.SZ,546,金圆股份,水泥
135,000547.SZ,547,航天发展,通信设备
136,000548.SZ,548,湖南投资,路桥
137,000550.SZ,550,江铃汽车,汽车整车
138,000551.SZ,551,创元科技,专用机械
139,000552.SZ,552,靖远煤电,煤炭开采
140,000553.SZ,553,安道麦A,农药化肥
141,000554.SZ,554,泰山石油,石油贸易
142,000555.SZ,555,神州信息,软件服务
143,000557.SZ,557,西部创业,铁路
144,000558.SZ,558,莱茵体育,文教休闲
145,000559.SZ,559,万向钱潮,汽车配件
146,000560.SZ,560,我爱我家,房产服务
147,000561.SZ,561,烽火电子,通信设备
148,000563.SZ,563,陕国投A,多元金融
149,000564.SZ,564,供销大集,百货
150,000565.SZ,565,渝三峡A,染料涂料
151,000566.SZ,566,海南海药,化学制药
152,000567.SZ,567,海德股份,多元金融
153,000568.SZ,568,泸州老窖,白酒
154,000570.SZ,570,苏常柴A,机械基件
155,000571.SZ,571,*ST大洲,综合类
156,000572.SZ,572,ST海马,汽车整车
157,000573.SZ,573,粤宏远A,区域地产
158,000576.SZ,576,甘化科工,综合类
159,000581.SZ,581,威孚高科,汽车配件
160,000582.SZ,582,北部湾港,港口
161,000584.SZ,584,哈工智能,专用机械
162,000585.SZ,585,*ST东电,电气设备
163,000586.SZ,586,汇源通信,通信设备
164,000587.SZ,587,*ST金洲,批发业
165,000589.SZ,589,贵州轮胎,汽车配件
166,000590.SZ,590,启迪药业,中成药
167,000591.SZ,591,太阳能,新型电力
168,000592.SZ,592,平潭发展,林业
169,000593.SZ,593,大通燃气,供气供热
170,000595.SZ,595,*ST宝实,机械基件
171,000596.SZ,596,古井贡酒,白酒
172,000597.SZ,597,东北制药,化学制药
173,000598.SZ,598,兴蓉环境,水务
174,000599.SZ,599,青岛双星,汽车配件
175,000600.SZ,600,建投能源,火力发电
176,000601.SZ,601,韶能股份,水力发电
177,000603.SZ,603,盛达资源,铅锌
178,000605.SZ,605,渤海股份,水务
179,000606.SZ,606,顺利办,互联网
180,000607.SZ,607,华媒控股,广告包装
181,000608.SZ,608,阳光股份,区域地产
182,000609.SZ,609,中迪投资,区域地产
183,000610.SZ,610,西安旅游,旅游服务
184,000611.SZ,611,ST天首,纺织
185,000612.SZ,612,焦作万方,铝
186,000613.SZ,613,大东海A,旅游服务
187,000615.SZ,615,奥园美谷,化纤
188,000616.SZ,616,海航投资,全国地产
189,000617.SZ,617,中油资本,多元金融
190,000619.SZ,619,海螺型材,其他建材
191,000620.SZ,620,新华联,全国地产
192,000622.SZ,622,恒立实业,汽车配件
193,000623.SZ,623,吉林敖东,化学制药
194,000625.SZ,625,长安汽车,汽车整车
195,000626.SZ,626,远大控股,商贸代理
196,000627.SZ,627,天茂集团,保险
197,000628.SZ,628,高新发展,园区开发
198,000629.SZ,629,攀钢钒钛,小金属
199,000630.SZ,630,铜陵有色,铜
200,000631.SZ,631,顺发恒业,区域地产
201,000632.SZ,632,三木集团,综合类
202,000633.SZ,633,合金投资,综合类
203,000635.SZ,635,英力特,化工原料
204,000636.SZ,636,风华高科,元器件
205,000637.SZ,637,茂化实华,石油加工
206,000638.SZ,638,万方发展,软件服务
207,000639.SZ,639,西王食品,食品
208,000650.SZ,650,仁和药业,中成药
209,000651.SZ,651,格力电器,家用电器
210,000652.SZ,652,泰达股份,批发业
211,000655.SZ,655,金岭矿业,普钢
212,000656.SZ,656,金科股份,区域地产
213,000657.SZ,657,中钨高新,小金属
214,000659.SZ,659,珠海中富,广告包装
215,000661.SZ,661,长春高新,生物制药
216,000662.SZ,662,*ST天夏,软件服务
217,000663.SZ,663,*ST永林,林业
218,000665.SZ,665,湖北广电,影视音像
219,000666.SZ,666,经纬纺机,多元金融
220,000667.SZ,667,美好置业,全国地产
221,000668.SZ,668,荣丰控股,区域地产
222,000669.SZ,669,*ST金鸿,供气供热
223,000671.SZ,671,阳光城,区域地产
224,000672.SZ,672,上峰水泥,水泥
225,000673.SZ,673,*ST当代,影视音像
226,000676.SZ,676,智度股份,互联网
227,000677.SZ,677,恒天海龙,化纤
228,000678.SZ,678,襄阳轴承,机械基件
229,000679.SZ,679,*ST友谊,百货
230,000680.SZ,680,山推股份,工程机械
231,000681.SZ,681,视觉中国,互联网
232,000682.SZ,682,东方电子,软件服务
233,000683.SZ,683,远兴能源,化工原料
234,000685.SZ,685,中山公用,水务
235,000686.SZ,686,东北证券,证券
236,000687.SZ,687,*ST华讯,通信设备
237,000688.SZ,688,国城矿业,铅锌
238,000690.SZ,690,宝新能源,火力发电
239,000691.SZ,691,亚太实业,化工原料
240,000692.SZ,692,惠天热电,供气供热
241,000695.SZ,695,滨海能源,广告包装
242,000697.SZ,697,炼石航空,航空
243,000698.SZ,698,沈阳化工,化工原料
244,000700.SZ,700,模塑科技,汽车配件
245,000701.SZ,701,厦门信达,综合类
246,000702.SZ,702,正虹科技,饲料
247,000703.SZ,703,恒逸石化,化纤
248,000705.SZ,705,浙江震元,医药商业
249,000707.SZ,707,ST双环,化工原料
250,000708.SZ,708,中信特钢,特种钢
251,000709.SZ,709,河钢股份,普钢
252,000710.SZ,710,贝瑞基因,医疗保健
253,000711.SZ,711,京蓝科技,软件服务
254,000712.SZ,712,锦龙股份,证券
255,000713.SZ,713,丰乐种业,种植业
256,000715.SZ,715,中兴商业,百货
257,000716.SZ,716,黑芝麻,食品
258,000717.SZ,717,韶钢松山,普钢
259,000718.SZ,718,苏宁环球,区域地产
260,000719.SZ,719,中原传媒,出版业
261,000720.SZ,720,新能泰山,区域地产
262,000721.SZ,721,西安饮食,酒店餐饮
263,000722.SZ,722,湖南发展,水力发电
264,000723.SZ,723,美锦能源,焦炭加工
265,000725.SZ,725,京东方A,元器件
266,000726.SZ,726,鲁泰A,纺织
267,000727.SZ,727,*ST东科,元器件
268,000728.SZ,728,国元证券,证券
269,000729.SZ,729,燕京啤酒,啤酒
270,000731.SZ,731,四川美丰,农药化肥
271,000732.SZ,732,泰禾集团,区域地产
272,000733.SZ,733,振华科技,元器件
273,000735.SZ,735,罗牛山,农业综合
274,000736.SZ,736,中交地产,全国地产
275,000737.SZ,737,ST南风,日用化工
276,000738.SZ,738,航发控制,航空
277,000739.SZ,739,普洛药业,化学制药
278,000750.SZ,750,国海证券,证券
279,000751.SZ,751,锌业股份,铅锌
280,000752.SZ,752,*ST西发,啤酒
281,000753.SZ,753,漳州发展,汽车服务
282,000755.SZ,755,山西路桥,公路
283,000756.SZ,756,新华制药,化学制药
284,000757.SZ,757,浩物股份,汽车配件
285,000758.SZ,758,中色股份,铅锌
286,000759.SZ,759,中百集团,超市连锁
287,000761.SZ,761,本钢板材,普钢
288,000762.SZ,762,西藏矿业,小金属
289,000766.SZ,766,通化金马,化学制药
290,000767.SZ,767,晋控电力,火力发电
291,000768.SZ,768,中航西飞,航空
292,000776.SZ,776,广发证券,证券
293,000777.SZ,777,中核科技,机械基件
294,000778.SZ,778,新兴铸管,钢加工
295,000779.SZ,779,甘咨询,建筑工程
296,000780.SZ,780,*ST平能,煤炭开采
297,000782.SZ,782,美达股份,化纤
298,000783.SZ,783,长江证券,证券
299,000785.SZ,785,居然之家,百货
300,000786.SZ,786,北新建材,其他建材
301,000788.SZ,788,北大医药,化学制药
302,000789.SZ,789,万年青,水泥
303,000790.SZ,790,华神科技,中成药
304,000791.SZ,791,甘肃电投,水力发电
305,000793.SZ,793,华闻集团,出版业
306,000795.SZ,795,英洛华,矿物制品
307,000796.SZ,796,凯撒旅业,旅游服务
308,000797.SZ,797,中国武夷,全国地产
309,000798.SZ,798,中水渔业,渔业
310,000799.SZ,799,酒鬼酒,白酒
311,000800.SZ,800,一汽解放,汽车整车
312,000801.SZ,801,四川九洲,通信设备
313,000802.SZ,802,北京文化,影视音像
314,000803.SZ,803,*ST北能,电气设备
315,000806.SZ,806,*ST银河,生物制药
316,000807.SZ,807,云铝股份,铝
317,000809.SZ,809,铁岭新城,区域地产
318,000810.SZ,810,创维数字,家用电器
319,000811.SZ,811,冰轮环境,工程机械
320,000812.SZ,812,陕西金叶,广告包装
321,000813.SZ,813,德展健康,化学制药
322,000815.SZ,815,美利云,造纸
323,000816.SZ,816,智慧农业,农用机械
324,000818.SZ,818,航锦科技,化工原料
325,000819.SZ,819,岳阳兴长,石油加工
326,000820.SZ,820,*ST节能,环境保护
327,000821.SZ,821,京山轻机,轻工机械
328,000822.SZ,822,山东海化,化工原料
329,000823.SZ,823,超声电子,元器件
330,000825.SZ,825,太钢不锈,特种钢
331,000826.SZ,826,启迪环境,环境保护
